,category_name,avg_review_score,actual_delivery_date,delay_delivery_date
0,agro_industry_and_commerce,4.0,11.5825,-11.4612
1,air_conditioning,3.9692,12.1938,-14.1696
2,art,3.9372,11.3046,-12.7766
3,arts_and_craftmanship,4.125,5.6667,-6.7917
4,audio,3.8255,13.268,-10.1492
5,auto,4.0655,12.1554,-11.4371
6,baby,4.0118,12.4514,-11.6465
7,bed_bath_table,3.8957,12.7505,-11.6562
8,books_general_interest,4.4463,11.5485,-12.153
9,books_imported,4.4,7.9649,-11.193
10,books_technical,4.3684,10.5779,-11.308
11,cds_dvds_musicals,4.6429,10.5714,-16.8571
12,christmas_supplies,4.0205,15.6733,-12.0533
13,cine_photo,4.2055,10.5,-11.3286
14,computers,4.175,13.4372,-11.5779
15,computers_accessories,3.9308,13.1536,-12.4199
16,consoles_games,4.0231,13.5354,-11.6795
17,construction_tools_construction,4.0529,10.6419,-11.6212
18,construction_tools_lights,4.0541,9.6711,-11.2226
19,construction_tools_safety,3.8446,11.8579,-12.388
20,cool_stuff,4.1463,12.3101,-12.4925
21,costruction_tools_garden,4.0542,11.8448,-13.5431
22,costruction_tools_tools,4.4444,12.068,-12.2039
23,diapers_and_hygiene,3.2564,10.6486,-11.3514
24,drinks,4.0477,10.3435,-11.5291
25,dvds_blu_ray,4.0794,12.8525,-13.3607
26,electronics,4.0375,12.8087,-11.14
27,fashion_bags_accessories,4.1447,11.0358,-13.3434
28,fashion_childrens_clothes,4.5,8.8571,-15.7143
29,fashion_male_clothing,3.6412,12.896,-12.712
30,fashion_shoes,4.2337,15.3969,-14.8327
31,fashion_sport,4.2581,11.7931,-12.3793
32,fashion_underwear_beach,3.9769,13.6063,-10.9291
33,fashio_female_clothing,3.78,11.9778,-11.2889
34,fixed_telephony,3.6832,12.6745,-14.7176
35,flowers,4.4194,11.1212,-12.3333
36,food,4.2182,9.497,-9.8677
37,food_drink,4.3154,10.8067,-11.6134
38,furniture_bedroom,4.1182,13.1748,-13.5146
39,furniture_decor,3.9035,12.8352,-12.3995
40,furniture_living_room,3.9044,13.7758,-11.8
41,furniture_mattress_and_upholstery,3.8158,14.4054,-7.1622
42,garden_tools,4.0427,13.6617,-11.9759
43,health_beauty,4.1428,11.915,-11.9701
44,home_appliances,4.1725,11.2215,-12.6525
45,home_appliances_2,4.1429,13.8615,-12.4545
46,home_comfort_2,3.6296,14.5333,-8.4333
47,home_confort,3.8299,13.4615,-9.8112
48,home_construction,3.94,13.1527,-11.557
49,housewares,4.055,10.8678,-12.3002
50,industry_commerce_and_business,4.1015,10.6515,-12.5455
51,kitchen_dining_laundry_garden_furniture,3.9643,11.7956,-12.4307
52,la_cuisine,4.0,7.6429,-16.3571
53,luggage_accessories,4.3153,10.6175,-12.6193
54,market_place,4.0194,12.1246,-14.623
55,music,4.2105,11.5526,-14.3421
56,musical_instruments,4.1526,12.9293,-11.4839
57,office_furniture,3.4932,20.7866,-11.8459
58,party_supplies,3.7674,9.1429,-15.119
59,perfumery,4.1619,11.6993,-12.43
60,pet_shop,4.1851,11.1653,-12.5364
61,security_and_services,2.5,15.0,-17.0
62,signaling_and_security,4.0863,10.4315,-12.7056
63,small_appliances,4.1492,10.7371,-13.8769
64,small_appliances_home_oven_and_coffee,4.3026,9.7945,-11.589
65,sports_leisure,4.108,12.0815,-12.0101
66,stationery,4.1939,12.6715,-12.0389
67,tablets_printing_image,4.1235,12.9639,-12.7711
68,telephony,3.9469,12.7966,-11.3826
69,toys,4.1586,11.633,-12.1032
70,watches_gifts,4.0192,12.5885,-11.9204
