category_name,avg_review_score,repurchase_rate
cds_dvds_musicals,4.6429,16.6667
fashion_childrens_clothes,4.5,0.0
books_general_interest,4.4463,6.25
costruction_tools_tools,4.4444,6.1856
flowers,4.4194,13.7931
books_imported,4.4,14.0
books_technical,4.3684,2.7344
food_drink,4.3154,13.1222
luggage_accessories,4.3153,5.103
small_appliances_home_oven_and_coffee,4.3026,1.3889
fashion_sport,4.2581,3.8462
fashion_shoes,4.2337,7.6596
food,4.2182,9.0703
music,4.2105,0.0
cine_photo,4.2055,7.9365
stationery,4.1939,7.2438
pet_shop,4.1851,10.7227
computers,4.175,8.4746
home_appliances,4.1725,0.9371
perfumery,4.1619,6.4485
toys,4.1586,4.8633
musical_instruments,4.1526,5.401
small_appliances,4.1492,6.7323
cool_stuff,4.1463,3.147
fashion_bags_accessories,4.1447,7.1429
home_appliances_2,4.1429,1.7621
health_beauty,4.1428,7.0198
arts_and_craftmanship,4.125,4.3478
tablets_printing_image,4.1235,5.0633
furniture_bedroom,4.1182,13.3333
sports_leisure,4.108,9.2165
industry_commerce_and_business,4.1015,12.069
signaling_and_security,4.0863,24.6377
dvds_blu_ray,4.0794,8.9286
auto,4.0655,6.2992
housewares,4.055,11.4052
costruction_tools_garden,4.0542,17.8947
construction_tools_lights,4.0541,13.6364
construction_tools_construction,4.0529,13.587
drinks,4.0477,13.2404
garden_tools,4.0427,15.7773
electronics,4.0375,6.2376
consoles_games,4.0231,5.6974
christmas_supplies,4.0205,11.2
market_place,4.0194,6.9343
watches_gifts,4.0192,4.7498
baby,4.0118,4.5924
la_cuisine,4.0,7.6923
agro_industry_and_commerce,4.0,9.6045
fashion_underwear_beach,3.9769,5.9829
air_conditioning,3.9692,13.8211
kitchen_dining_laundry_garden_furniture,3.9643,11.6183
telephony,3.9469,6.3034
home_construction,3.94,15.1139
art,3.9372,1.0256
computers_accessories,3.9308,11.2557
furniture_living_room,3.9044,12.3188
furniture_decor,3.9035,19.2802
bed_bath_table,3.8957,13.7295
construction_tools_safety,3.8446,8.1761
home_confort,3.8299,7.398
audio,3.8255,3.7356
furniture_mattress_and_upholstery,3.8158,0.0
fashio_female_clothing,3.78,11.1111
party_supplies,3.7674,10.5263
fixed_telephony,3.6832,10.8491
fashion_male_clothing,3.6412,14.1509
home_comfort_2,3.6296,20.8333
office_furniture,3.4932,18.1021
diapers_and_hygiene,3.2564,16.0
security_and_services,2.5,0.0
