category_name,count_sales,repurchase_rate
bed_bath_table,11115,13.7295
health_beauty,9670,7.0198
sports_leisure,8641,9.2165
furniture_decor,8334,19.2802
computers_accessories,7827,11.2557
housewares,6964,11.4052
watches_gifts,5991,4.7498
telephony,4545,6.3034
garden_tools,4347,15.7773
auto,4235,6.2992
toys,4117,4.8633
cool_stuff,3796,3.147
perfumery,3419,6.4485
baby,3065,4.5924
electronics,2767,6.2376
stationery,2517,7.2438
fashion_bags_accessories,2031,7.1429
pet_shop,1947,10.7227
office_furniture,1691,18.1021
consoles_games,1137,5.6974
luggage_accessories,1092,5.103
construction_tools_construction,929,13.587
home_appliances,771,0.9371
musical_instruments,680,5.401
small_appliances,679,6.7323
home_construction,604,15.1139
books_general_interest,553,6.25
food,510,9.0703
furniture_living_room,503,12.3188
home_confort,434,7.398
drinks,379,13.2404
audio,364,3.7356
market_place,311,6.9343
construction_tools_lights,304,13.6364
air_conditioning,297,13.8211
kitchen_dining_laundry_garden_furniture,281,11.6183
food_drink,278,13.1222
industry_commerce_and_business,268,12.069
books_technical,267,2.7344
fixed_telephony,264,10.8491
fashion_shoes,262,7.6596
costruction_tools_garden,238,17.8947
home_appliances_2,238,1.7621
agro_industry_and_commerce,212,9.6045
art,209,1.0256
computers,203,8.4746
signaling_and_security,199,24.6377
construction_tools_safety,194,8.1761
christmas_supplies,153,11.2
fashion_male_clothing,132,14.1509
fashion_underwear_beach,131,5.9829
furniture_bedroom,109,13.3333
costruction_tools_tools,103,6.1856
tablets_printing_image,83,5.0633
small_appliances_home_oven_and_coffee,76,1.3889
cine_photo,72,7.9365
dvds_blu_ray,64,8.9286
books_imported,60,14.0
fashio_female_clothing,48,11.1111
party_supplies,43,10.5263
diapers_and_hygiene,39,16.0
furniture_mattress_and_upholstery,38,0.0
music,38,0.0
flowers,33,13.7931
fashion_sport,30,3.8462
home_comfort_2,30,20.8333
arts_and_craftmanship,24,4.3478
la_cuisine,14,7.6923
cds_dvds_musicals,14,16.6667
fashion_childrens_clothes,8,0.0
security_and_services,2,0.0
